! '':4
! -rrb-:60
! .:6
! </s>:1518
!! -rrb-:3
!! -rsb-:1
!! .:4
!! </s>:132
!!! '':1
!!! -rrb-:2
!!! .:5
!!! </s>:82
!!!! 2:1
!!!! a:1
!!!! being:1
!!!! did:1
!!!! easy:2
!!!! finally:1
!!!! i:2
!!!! idk:1
!!!! instead:1
!!!! its:1
!!!! more:1
!!!! ok:1
!!!! purchased:1
!!!! so:1
!!!! the:1
!!!! this:5
!!!! very:1
!!!! way:1
!!!! what:1
!!!!! amazing:1
!!!!! and:1
!!!!! believe:1
!!!!! everything:1
!!!!! i:3
!!!!! no:1
!!!!! these:2
!!!!! this:1
!!!!!! as:1
!!!!!! i:2
!!!!!! love:1
!!!!!!! everything:1
!!!!!!! first:1
!!!!!!! i:1
!!!!!!!!!!! would:1
!!!!!!!!!!!!!!!!!! moreeven:1
!!!!!?????? i:1
!!!???? the:1
!? '':1
!? -rrb-:1
!? </s>:1
# !!!!:1
# $:1
# ':1
# .:1
# /:1
# 1:7
# 10:1
# 12:2
# 2:3
# 3:4
# wow:1
### gt:1
$ $:19
$ %:1
$ ,:1
$ .:5
$ ...:1
$ 1:2
$ 1,000:1
$ 1,200:1
$ 1.00:1
$ 1.5:1
$ 1.50:1
$ 1.83:1
$ 1.95:1
$ 1/ft:1
$ 10:22
$ 10-11:1
$ 10.99:1
$ 100:60
$ 100.00:3
$ 1000:5
$ 100joyo:1
$ 11:5
$ 11.99:1
$ 118.50:1
$ 119:2
$ 12:6
$ 120:5
$ 125:4
$ 129:1
$ 13:10
$ 13.00:1
$ 130:2
$ 135:1
$ 14:2
$ 149:1
$ 15:12
$ 15-20:1
$ 15.00:1
$ 15.99:1
$ 150:11
$ 150-200:1
$ 150.00:3
$ 16:2
$ 17:2
$ 17.70:1
$ 170:1
$ 170.00:1
$ 175:2
$ 175.00:1
$ 179.00:1
$ 180:2
$ 180-200:1
$ 189:1
$ 199:1
$ 2:10
$ 2,000.00:1
$ 2.99:1
$ 20:39
$ 20-25:1
$ 20-50:1
$ 20.00:3
$ 200:22
$ 200.00:1
$ 2000:1
$ 2000.00:2
$ 23:1
$ 24:1
$ 240-300:1
$ 249.00:1
$ 25:14
$ 25.00:3
$ 250:6
$ 250.00:2
$ 25i:1
$ 28:1
$ 29:1
$ 299:1
$ 299.00:1
$ 2k:1
$ 3:8
$ 3,000.00:1
$ 3-4:1
$ 3.49:1
$ 30:20
$ 30-50:1
$ 30.00:3
$ 300:17
$ 3000:1
$ 304:1
$ 31.00:1
$ 32:1
$ 35:4
$ 35.00:1
$ 350:3
$ 360:1
$ 38:1
$ 380:1
$ 39.99:2
$ 399:1
$ 4:3
